,MP,W,L,W%,GP,GW,GL,GD
Our Toxic Bromance,7,6,1,85.7%,31,20,11,9
Big Booster Brand,6,5,1,83.3%,24,17,7,10
Crossbar Kings,7,5,2,71.4%,26,16,10,6
GOALden Showers,7,5,2,71.4%,31,18,13,5
Bronzeback Mountain,7,5,2,71.4%,28,18,10,8
Bang Bros,7,5,2,71.4%,27,18,9,9
Litty Kitties,8,5,3,62.5%,33,18,15,3
Boom Squad,7,3,4,42.9%,29,15,14,1
Motion With Some Lotion,8,3,5,37.5%,34,15,19,-4
Boostiality,9,3,6,33.3%,37,15,22,-7
Goals Next Door,6,2,4,33.3%,26,11,15,-4
Rihanna's Toilet Seat,7,2,5,28.6%,29,11,18,-7
Smut Daddies,6,1,5,16.7%,23,6,17,-11
Aerial Airheads,8,2,6,25.0%,31,12,19,-7
W.A.P (What A Play!),6,1,5,16.7%,21,5,16,-11