,MP,W,L,W%,GP,GW,GL,GD
GOALden Showers,10,8,2,80.0%,42,27,15,12
Bang Bros,10,8,2,80.0%,37,27,10,17
Big Booster Brand,9,7,2,77.8%,36,23,13,10
Crossbar Kings,10,7,3,70.0%,36,23,13,10
Our Toxic Bromance,9,6,3,66.7%,38,21,17,4
Litty Kitties,9,6,3,66.7%,37,21,16,5
Bronzeback Mountain,7,5,2,71.4%,28,18,10,8
Aerial Airheads,10,4,6,40.0%,40,18,22,-4
Boostiality,11,4,7,36.4%,46,20,26,-6
Boom Squad,9,3,6,33.3%,36,16,20,-4
Motion With Some Lotion,9,3,6,33.3%,37,15,22,-7
Goals Next Door,7,2,5,28.6%,30,12,18,-6
Rihanna's Toilet Seat,8,2,6,25.0%,33,12,21,-9
Smut Daddies,9,2,7,22.2%,35,12,23,-11
W.A.P (What A Play!),9,1,8,11.1%,31,6,25,-19