team name,games,wins,win percentage,score,score per game,goals,goals per game,assists,assists per game,saves,saves per game,shots,shots per game,shots conceded,shots conceded per game,goals conceded,goals conceded per game,shooting percentage,bpm per game,avg boost amount per game,amount collected,amount collected per game,amount collected big pads,amount collected big pads per game,amount collected small pads,amount collected small pads per game,count collected big pads,count collected big pads per game,count collected small pads,count collected small pads per game,amount stolen,amount stolen per game,amount stolen big pads,amount stolen big pads per game,amount stolen small pads,amount stolen small pads per game,count stolen big pads,count stolen big pads per game,count stolen small pads,count stolen small pads per game,0 boost time,0 boost time per game,100 boost time,100 boost time per game,amount used while supersonic,amount used while supersonic per game,amount overfill total,amount overfill total per game,amount overfill stolen,amount overfill stolen per game,total distance,total distance per game,time slow speed,time slow speed per game,time boost speed,time boost speed per game,time supersonic speed,time supersonic speed per game,time on ground,time on ground per game,time low in air,time low in air per game,time high in air,time high in air per game,time powerslide,time powerslide per game,avg powerslide time per game,count powerslide,count powerslide per game,time behind ball,time behind ball per game,time in front of ball,time in front of ball per game,time defensive half,time defensive half per game,time offensive half,time offensive half per game,time defensive third,time defensive third per game,time neutral third,time neutral third per game,time offensive third,time offensive third per game,demos inflicted,demos inflicted per game,demos taken,demos taken per game
MOTION W LOTION,34,15,44.12,28808,847.29,61,1.79,32,0.94,98,2.88,204,6,218,6.41,77,2.26,29.9,879.71,158.19,184084,5414.24,130032,3824.47,54052,1589.76,1637,48.15,4544,133.65,26465,778.38,13452,395.65,13013,382.74,173,5.09,1120,32.94,3561.89,104.76,3337.43,98.16,26156,769.29,33710,991.47,3695,108.68,49767208,1463741.38,20740.05,610,14347.44,421.98,2828.89,83.2,24821.62,730.05,12521.02,368.27,573.82,16.88,765.5,22.51,0,5166,151.94,28117.72,826.99,9798.72,288.2,26710.05,785.59,11206.13,329.59,20889.88,614.41,10653.75,313.35,6372.71,187.43,33,0.97,54,1.59
WHAT A PLAY,21,5,23.81,14448,688,29,1.38,8,0.38,50,2.38,91,4.33,142,6.76,58,2.76,31.87,861.29,147.07,105981,5046.71,75835,3611.19,30146,1435.52,934,44.48,2617,124.62,20045,954.52,12786,608.86,7259,345.67,149,7.1,630,30,3188.31,151.82,2972.37,141.54,18951,902.43,18066,860.29,2171,103.38,28994304,1380681.12,12833.35,611.11,7908.41,376.59,1799.05,85.67,15417.61,734.17,6728.55,320.41,394.61,18.79,335.89,15.99,0,1831,87.19,16181.39,770.54,6359.36,302.83,15792.11,752.01,6748.64,321.36,12227.23,582.25,6334.97,301.67,3978.55,189.45,45,2.14,30,1.43
BOOSTIALITY,34,15,44.12,29128,856.71,61,1.79,27,0.79,104,3.06,215,6.32,200,5.88,62,1.82,28.37,737.18,148.23,157516,4632.82,105375,3099.26,52141,1533.56,1310,38.53,4529,133.21,29944,880.71,17595,517.5,12349,363.21,220,6.47,1072,31.53,3743.28,110.1,5672.13,166.83,21671,637.38,26019,765.26,4005,117.79,43506908,1279615,25496.27,749.89,10120.23,297.65,2300.02,67.65,26914.29,791.6,10272.58,302.13,729.65,21.46,985.83,29,0,5858,172.29,29692.06,873.3,8224.46,241.9,27936.93,821.67,9979.55,293.52,22624.68,665.43,9642.94,283.62,5649.03,166.15,33,0.97,44,1.29
BIGBOOSTERBRAND,24,17,70.83,22363,931.79,61,2.54,27,1.12,75,3.12,164,6.83,133,5.54,34,1.42,37.2,832.12,145.15,114239,4759.96,74751,3114.62,39488,1645.33,956,39.83,3388,141.17,27984,1166,16703,695.96,11281,470.04,206,8.58,948,39.5,2911.63,121.32,2556.57,106.52,11951,497.96,20876,869.83,3765,156.88,31508296,1312845.62,15192.77,633.03,8705.37,362.72,1368.83,57.03,17163.38,715.14,7656.92,319.04,446.66,18.61,369.12,15.38,0,2989,124.54,19092.03,795.5,6174.98,257.29,16665.57,694.4,8601.36,358.39,12480.49,520.02,7684.6,320.19,5101.96,212.58,29,1.21,37,1.54
AERIAL AIRHEADS,31,12,38.71,23769,766.74,45,1.45,17,0.55,90,2.9,136,4.39,202,6.52,71,2.29,33.09,725.29,144.68,133519,4307.06,87616,2826.32,45903,1480.74,1078,34.77,3912,126.19,24480,789.68,13691,441.65,10789,348.03,173,5.58,921,29.71,3497.7,112.83,3771.65,121.67,12316,397.29,20510,661.61,3445,111.13,39629456,1278369.5,21914.14,706.91,9768.1,315.1,1758.06,56.71,23249.45,749.98,9570.7,308.73,620.09,20,560.35,18.08,0,2505,80.81,24749.49,798.37,8690.87,280.35,24421.82,787.8,9018.44,290.92,19283.44,622.05,9209.78,297.09,4947.1,159.58,37,1.19,42,1.35
LITTY KITTIES,33,18,54.55,30565,926.21,73,2.21,34,1.03,118,3.58,212,6.42,241,7.3,75,2.27,34.43,760.33,167.16,160503,4863.73,109333,3313.12,51170,1550.61,1394,42.24,4569,138.45,29084,881.33,17058,516.91,12026,364.42,220,6.67,1064,32.24,2566.64,77.78,6177.74,187.2,21199,642.39,29877,905.36,4623,140.09,44674032,1353758.5,23658.32,716.92,10723.66,324.96,2739.13,83,25932.13,785.82,10524.96,318.94,664.11,20.12,826.73,25.05,0,5430,164.55,28920.55,876.38,8200.6,248.5,27268.1,826.31,9853.01,298.58,21833.07,661.61,9855.07,298.64,5432.9,164.63,51,1.55,52,1.58
CROSSBAR KINGS,26,16,61.54,24597,946.04,66,2.54,35,1.35,80,3.08,171,6.58,152,5.85,51,1.96,38.6,890.5,152.72,138552,5328.92,92432,3555.08,46120,1773.85,1182,45.46,4090,157.31,30960,1190.77,17666,679.46,13294,511.31,225,8.65,1203,46.27,2483.91,95.53,3139.86,120.76,21618,831.46,26341,1013.12,4884,187.85,37914248,1458240.25,15372.75,591.26,10444.35,401.71,2542.18,97.78,18815.21,723.66,9038.68,347.64,505.43,19.44,521.15,20.04,0,4086,157.15,20980.5,806.94,7378.8,283.8,18585.13,714.81,9774.09,375.93,14022.77,539.34,8507.52,327.21,5829.09,224.2,97,3.73,42,1.62
BOOM SQUAD,29,15,51.72,25016,862.62,60,2.07,28,0.97,81,2.79,172,5.93,185,6.38,62,2.14,34.88,843.14,147.4,150572,5192.14,103767,3578.17,46805,1613.97,1283,44.24,4007,138.17,24900,858.62,14602,503.52,10298,355.1,197,6.79,863,29.76,3494.59,120.5,4022.4,138.7,23097,796.45,24794,854.97,4805,165.69,42178248,1454422.38,18862.73,650.44,11809.01,407.21,2219.2,76.52,22188.2,765.11,10171.75,350.75,530.97,18.31,509.43,17.57,0,2745,94.66,24969.09,861,7921.9,273.17,23876.33,823.32,9014.56,310.85,18804.95,648.45,8787.98,303.03,5298.01,182.69,31,1.07,41,1.41
SMUT DADDIES,23,6,26.09,17550,763.04,32,1.39,10,0.43,75,3.26,116,5.04,170,7.39,54,2.35,27.59,821.39,166.52,119293,5186.65,85157,3702.48,34136,1484.17,1132,49.22,2993,130.13,25769,1120.39,16827,731.61,8942,388.78,220,9.57,795,34.57,1785.94,77.65,4092.04,177.91,13074,568.43,28702,1247.91,5305,230.65,32378680,1407768.75,14679.47,638.24,8867.83,385.56,1954.25,84.97,17124.56,744.55,7917.96,344.26,458.98,19.96,582.41,25.32,0,3570,155.22,18388.62,799.51,7112.88,309.26,17426.92,757.69,8074.55,351.07,13447.01,584.65,7303.46,317.54,4750.99,206.56,21,0.91,36,1.57
BANGBROS,27,18,66.67,24950,924.07,65,2.41,35,1.3,80,2.96,185,6.85,163,6.04,50,1.85,35.14,843.52,147.92,142740,5286.67,95481,3536.33,47259,1750.33,1264,46.81,4108,152.15,25528,945.48,13641,505.22,11887,440.26,180,6.67,1032,38.22,2582.84,95.66,4140.58,153.35,22377,828.78,28446,1053.56,3705,137.22,39156120,1450226.62,17459.25,646.64,10619.03,393.3,2475.99,91.7,20884.65,773.51,9147.29,338.79,522.33,19.35,410.42,15.2,0,2366,87.63,23307.09,863.23,7247.17,268.41,21333.76,790.14,9220.41,341.5,16563.59,613.47,8603.55,318.65,5387.1,199.52,51,1.89,47,1.74
GOALDEN SHOWERS,31,18,58.06,28384,915.61,78,2.52,38,1.23,86,2.77,217,7,173,5.58,57,1.84,35.94,910.84,137.61,164662,5311.68,106954,3450.13,57708,1861.55,1383,44.61,4942,159.42,36692,1183.61,21243,685.26,15449,498.35,269,8.68,1317,42.48,3741.62,120.7,2927.95,94.45,17616,568.26,30915,997.26,5623,181.39,41643232,1343330.12,19749.39,637.08,11158.72,359.96,2475.08,79.84,22849.78,737.09,9875.19,318.55,658.2,21.23,781.48,25.21,0,3665,118.23,25279.55,815.47,8103.59,261.41,22356.46,721.18,11026.46,355.69,17126.19,552.46,9720.26,313.56,6536.65,210.86,41,1.32,36,1.16
BRONZEBACK,25,15,60,24005,960.2,65,2.6,25,1,75,3,193,7.72,150,6,50,2,33.68,938.88,154.91,137610,5504.4,98031,3921.24,39579,1583.16,1189,47.56,3460,138.4,22616,904.64,12163,486.52,10453,418.12,150,6,911,36.44,2322.76,92.91,2816.2,112.65,20120,804.8,21170,846.8,2765,110.6,34579928,1383197.12,15195.34,607.81,9182.55,367.3,2297.14,91.89,17398.6,695.94,8580.51,343.22,695.95,27.84,617.61,24.7,0,3474,138.96,20496.1,819.84,6178.96,247.16,18655.7,746.23,8019.35,320.77,14467.66,578.71,7630.53,305.22,4576.81,183.07,38,1.52,32,1.28
GOALSNEXTDOOR,26,11,42.31,20408,784.92,43,1.65,24,0.92,68,2.62,156,6,135,5.19,48,1.85,27.56,819.46,156.86,120316,4627.54,83338,3205.31,36978,1422.23,1052,40.46,3233,124.35,24574,945.15,14611,561.96,9963,383.19,182,7,884,34,2008.45,77.25,3594.02,138.23,14260,548.46,22283,857.04,3639,139.96,33871204,1302738.62,16637.14,639.89,8642.3,332.4,1732.28,66.63,18322.21,704.7,8089.24,311.12,600.24,23.09,493.59,18.98,0,2961,113.88,19497.71,749.91,7514.03,289,18242.75,701.64,8769.03,337.27,13552.66,521.26,8421.16,323.89,5037.91,193.77,22,0.85,40,1.54
TOXIC BROMANCE,31,20,64.52,28542,920.71,75,2.42,42,1.35,91,2.94,200,6.45,180,5.81,50,1.61,37.5,881.23,158.46,167328,5397.68,124928,4029.94,42400,1367.74,1543,49.77,3615,116.61,32672,1053.94,20676,666.97,11996,386.97,254,8.19,1041,33.58,3229.22,104.17,6564.05,211.74,24086,776.97,30033,968.81,4808,155.1,42655392,1375980.38,20248.33,653.17,11291.56,364.24,2415.12,77.91,22492.55,725.57,10714.15,345.62,748.21,24.14,625.31,20.17,0,3212,103.61,25442.04,820.71,8513.06,274.61,22797.13,735.39,11157.95,359.93,17345.17,559.52,9972.85,321.7,6637,214.1,64,2.06,44,1.42
RIHANNAS TOILET,29,11,37.93,22838,787.52,50,1.72,25,0.86,87,3,187,6.45,178,6.14,65,2.24,26.74,877.28,144.13,151816,5235.03,108793,3751.48,43023,1483.55,1316,45.38,3686,127.1,26053,898.38,15726,542.28,10327,356.1,191,6.59,876,30.21,3820.02,131.72,4073.96,140.48,22974,792.21,22905,789.83,3330,114.83,38167852,1316132.88,19298.48,665.46,10138.06,349.59,2034.74,70.16,21751.09,750.04,9368.52,323.05,351.68,12.13,709.3,24.46,0,4924,169.79,24373.62,840.47,7097.66,244.75,23005.12,793.28,8466.2,291.94,18460.59,636.57,8252.44,284.57,4758.27,164.08,37,1.28,53,1.83