player name,Tier
David // RIP Izzy,A
FreakyFingerFred,B
Ndowdle26,C
Ladevo Boost,A
Robzo Boost,B
SebasXx9,C
RLQS SEASON 2 CHAMP,A
alexgbuckets,B
CapnCatsneeze,C
The Pontiac Bandit,A
WhiteSox-15,B
PimpedCaravan,C
Exyxz,A
TheRealMrBest,B
OvercastCone1,C
Rob Herbo,A
Silly_goose70,B
LEFTnip420,C
Ty,A
bakingsoda,B
Abbyyyyyyy,C
Icy_killa420,A
hec_too_nasty,B
Milkman626,C
Fiko,A
k1ttycatmeow,C
sxmurai_beats,B
Huge Man,A
A_S_Scrackbandit,B
redsox__15,C
rastla70,A
hugoflugo4,B
PettyGuac69,C
RisingStocks,A
Soch10,B
kabrutis,C
Geko,A
Illenial,B
dirty_wizard69,C
ttv/kevinpeta6,A
airfark,B
The Plump Kitty,C
Kale,A
Jacob,B
claraaxoxo,C